,0.63985,0.64423,0.63058,0.63909
,0.63364,0.63206,0.63219,0.63476
,0.63274,0.62716,0.54718,0.56096
,0.63135,0.58598,0.51934,0.53101
,0.56837,0.5399,0.46747,0.44267
,0.50724,0.51616,0.45956,0.39699
,0.47758,0.48507,0.39854,0.39404
,0.45966,0.44828,0.3901,0.34128
,0.4254,0.4411,0.33186,0.32764
,0.37701,0.44037,0.32721,0.26876
,0.34405,0.43943,0.31737,0.20409
,0.25177,0.43367,0.26297,0.20326
,0.19839,0.43178,0.21969,0.18534
,0.18304,0.42996,0.21136,0.18089
,0.17931,0.41788,0.19071,0.1705
,0.17079,0.41413,0.18687,0.16302
,0.16545,0.39902,0.18513,0.14943
,0.16066,0.3986,0.18503,
,0.15641,0.39751,0.17805,
,0.15457,0.39613,0.17737,
,0.15283,0.39354,0.16892,
,0.14326,0.32968,0.16311,
,0.14323,0.24495,0.1591,
,0.13892,0.24085,0.15903,
,0.13567,0.22248,0.14746,
,0.13366,0.21961,,
,0.12898,0.21271,,
,0.12783,0.20863,,
,0.12754,0.20859,,
,0.12285,0.20793,,
,0.11885,0.20032,,
,0.11693,0.19831,,
,0.1163,0.1916,,
,0.11255,0.19152,,
,0.10942,0.18928,,
,0.10767,0.18356,,
,0.10703,0.18242,,
,0.10509,0.17732,,
,0.10425,0.17545,,
,0.10417,0.17405,,
,0.10167,0.17338,,
,0.10136,0.16663,,
,0.10091,0.16367,,
,0.099727,0.16207,,
,0.099009,0.15677,,
,0.098798,0.15106,,
,0.095796,0.14763,,
,0.093108,0.14573,,
,0.092607,0.14322,,
,0.089762,0.13784,,
,0.086169,0.13372,,
,0.085772,0.13224,,
,0.084532,0.13068,,
,0.083523,0.12638,,
,0.079063,0.1237,,
,0.076986,0.12065,,
,0.076596,0.12066,,
,0.073539,0.11586,,
,0.07237,0.11503,,
,0.069967,0.11468,,
,0.069116,0.11372,,
,0.065244,0.11303,,
,0.063156,0.11261,,
,0.063082,0.10935,,
,0.062857,0.10731,,
,0.062401,0.10662,,
,0.060189,0.10649,,
,0.060166,0.10561,,
,0.059045,0.10484,,
,0.058959,0.10329,,
,0.058113,0.10077,,
,0.057087,0.1005,,
,0.056701,0.10026,,
,0.05615,0.10007,,
,0.054795,0.097721,,
,0.054156,0.097413,,
,0.053955,0.094907,,
,0.053686,0.094253,,
,0.052958,0.093622,,
,0.052662,0.092989,,
,0.052627,0.092787,,
,0.05207,0.092267,,
,0.051989,0.087827,,
,0.051234,,,
,0.050927,,,
,0.050765,,,
,0.050621,,,
